Chip Run Info,D:\Edoardo\1361334043edoardo_hl60_vinc_3nM_mock_vs_48h\ChipRun.bml,1361334043,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,4/24/2016 8:26:16 PM,00:51:17,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A82,mock_high,Unknown,1,PPIA,Test,8.77418173677427,-1,1,Pass,0.0222468576534276,84.8668763586539,999,1,ok
S06-A81,mock_high,Unknown,1,RELA,Test,13.614548891288,-1,1,Pass,0.0222468576534276,86.2053505075144,999,1,ok
S06-A80,mock_high,Unknown,1,SMYD3,Test,14.7844385227043,-1,1,Pass,0.0222468576534276,82.1687841354629,999,1,double
S06-A79,mock_high,Unknown,1,UGCG,Test,21.4174253037202,-1,1,Pass,0.0222468576534276,82.9819045198695,999,1,ok
S06-A90,mock_high,Unknown,1,LRP6,Test,21.0606165305498,-1,1,Pass,0.0222468576534276,87.13133344469,999,1,ok
S06-A89,mock_high,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A88,mock_high,Unknown,1,B2M,Test,10.3405427906899,-1,1,Pass,0.0222468576534276,86.2150833283086,999,1,ok
S06-A87,mock_high,Unknown,1,MAP3K14,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A86,mock_high,Unknown,1,SLCO3A1,Test,16.2104267968685,-1,1,Pass,0.0222468576534276,84.671063849252,999,1,ok
S06-A85,mock_high,Unknown,1,SP1,Test,14.9293738790162,-1,1,Pass,0.0222468576534276,87.367464523096,999,1,ok
S06-A96,mock_high,Unknown,1,LRP6,Test,20.3577317117863,-1,1,Pass,0.0222468576534276,87.5439843087789,999,1,ok
S06-A95,mock_high,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A94,mock_high,Unknown,1,B2M,Test,10.3695161259781,-1,1,Pass,0.0222468576534276,86.6047106102498,999,1,ok
S06-A93,mock_high,Unknown,1,MAP3K14,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A92,mock_high,Unknown,1,SLCO3A1,Test,16.4600396453906,-1,1,Pass,0.0222468576534276,84.9776536320837,999,1,ok
S06-A91,mock_high,Unknown,1,SP1,Test,14.9588873177062,-1,1,Pass,0.0222468576534276,87.8875609074711,999,1,ok
S95-A01,48h_low,Unknown,1,ACTB,Test,20.0325034021143,-1,0.9024833734588,Pass,0.0222468576534276,91.2290528092312,999,1,ok
