Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A24,untreated_high,Unknown,1,LRP5,Test,14.7003732303944,1,Pass,0.0233967033971152,84.7795384752603,999,1,
S06-A25,untreated_high,Unknown,1,ABCC5,Test,17.0972737164938,1,Pass,0.0233967033971152,84.8892793483081,999,1,
S06-A26,untreated_high,Unknown,1,NFYA,Test,12.9184074570604,1,Pass,0.0233967033971152,86.1425374611128,999,1,
S06-A27,untreated_high,Unknown,1,CSK,Test,12.080636627778,1,Pass,0.0233967033971152,86.5714054732573,999,1,
S06-A28,untreated_high,Unknown,1,SCML2,Test,15.2150065495693,1,Pass,0.0233967033971152,82.3964235466553,999,1,
S06-A29,untreated_high,Unknown,1,GAPDH,Test,7.48416320873518,1,Pass,0.0233967033971152,88.1809852339109,999,1,
S06-A30,untreated_high,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A31,untreated_high,Unknown,1,ABCC5,Test,17.2655685300833,1,Pass,0.0233967033971152,84.8430515690532,999,1,
S06-A32,untreated_high,Unknown,1,NFYA,Test,12.8831547895822,1,Pass,0.0233967033971152,86.1031436592432,999,1,
S06-A33,untreated_high,Unknown,1,CSK,Test,12.1679643892542,1,Pass,0.0233967033971152,86.4089910266178,999,1,
S06-A34,untreated_high,Unknown,1,SCML2,Test,15.6325805096563,1,Pass,0.0233967033971152,82.2570204405263,999,1,
S06-A35,untreated_high,Unknown,1,GAPDH,Test,7.40815564803824,1,Pass,0.0233967033971152,88.1414583752859,999,1,
S06-A36,untreated_high,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A37,untreated_high,Unknown,1,WNK1,Test,14.2652564410259,1,Pass,0.0233967033971152,84.2863126083347,999,1,
S06-A38,untreated_high,Unknown,1,IL18,Test,17.2725967345969,1,Pass,0.0233967033971152,81.5610724066967,999,1,
S06-A39,untreated_high,Unknown,1,GCLC,Test,14.3729591183999,1,Pass,0.0233967033971152,83.9785245327013,999,1,
S06-A40,untreated_high,Unknown,1,MAPK1,Test,11.6938963289747,1,Pass,0.0233967033971152,85.8987044018319,999,1,
S06-A41,untreated_high,Unknown,1,MYC,Test,8.47322461360828,1,Pass,0.0233967033971152,80.5506358044256,999,1,
S06-A42,untreated_high,Unknown,1,OCT4,Test,27.179182652691,0,Fail,0.0233967033971152,999,999,0,
S06-A43,untreated_high,Unknown,1,WNK1,Test,14.2517641594853,1,Pass,0.0233967033971152,84.2726373976786,999,1,
S06-A44,untreated_high,Unknown,1,IL18,Test,16.9825806037307,1,Pass,0.0233967033971152,81.5855065926009,999,1,
S06-A45,untreated_high,Unknown,1,GCLC,Test,14.4202123448442,1,Pass,0.0233967033971152,83.9736753818895,999,1,
S06-A46,untreated_high,Unknown,1,MAPK1,Test,11.6708670789116,1,Pass,0.0233967033971152,85.8810033792895,999,1,
S06-A47,untreated_high,Unknown,1,MYC,Test,8.40315851186736,1,Pass,0.0233967033971152,80.5563892345497,999,1,
S06-A48,untreated_high,Unknown,1,OCT4,Test,26.7381560964206,0,Fail,0.0233967033971152,999,999,0,
S06-A54,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A53,untreated_high,Unknown,1,MPO,Test,6.2761068848855,1,Pass,0.0233967033971152,88.9096562780131,999,1,
S06-A52,untreated_high,Unknown,1,EZH1,Test,14.526308433224,1,Pass,0.0233967033971152,83.1440722743331,999,1,
