Chip Run Info,D:\Edoardo\1361334029 10 nM vinc treated 48h\ChipRun.bml,1361334029,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/4/2016 5:25:44 PM,00:51:52,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A90,treated_low,Unknown,1,LRP6,Test,18.9705543426441,-1,1,Pass,0.0214762905126088,87.3502887295508,999,1,
S96-A89,treated_low,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A88,treated_low,Unknown,1,B2M,Test,9.24491847456504,-1,1,Pass,0.0214762905126088,86.4046988394424,999,1,
S96-A87,treated_low,Unknown,1,MAP3K14,Test,16.6856857217399,-1,1,Pass,0.0214762905126088,84.9369589747891,999,1,
S96-A86,treated_low,Unknown,1,SLCO3A1,Test,15.8881685106219,-1,1,Pass,0.0214762905126088,84.7400463251228,999,1,
S96-A85,treated_low,Unknown,1,SP1,Test,15.2928176101533,-1,1,Pass,0.0214762905126088,87.2823972880122,999,1,
S96-A96,treated_low,Unknown,1,LRP6,Test,19.3792884294583,-1,1,Pass,0.0214762905126088,87.682487481854,999,1,
S96-A95,treated_low,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A94,treated_low,Unknown,1,B2M,Test,9.28922808147653,-1,1,Pass,0.0214762905126088,86.7476539147683,999,1,
S96-A93,treated_low,Unknown,1,MAP3K14,Test,16.8916114372483,-1,1,Pass,0.0214762905126088,85.2006578669311,999,1,
S96-A92,treated_low,Unknown,1,SLCO3A1,Test,16.183604576818,-1,1,Pass,0.0214762905126088,85.1048088342808,999,1,
S96-A91,treated_low,Unknown,1,SP1,Test,15.1124849233937,-1,1,Pass,0.0214762905126088,87.889275776054,999,1,
S06-A01,treated_high,Unknown,1,ACTB,Test,18.6219199948506,-1,0.957982188684095,Pass,0.0214762905126088,90.9651689659214,999,1,
S06-A02,treated_high,Unknown,1,SP3,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A03,treated_high,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A04,treated_high,Unknown,1,RSU1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A05,treated_high,Unknown,1,IL8,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A06,treated_high,Unknown,1,FZD7,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A07,treated_high,Unknown,1,ACTB,Test,18.559786078372,-1,0.956646004926891,Pass,0.0214762905126088,90.5747541995513,999,1,
S06-A08,treated_high,Unknown,1,SP3,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A09,treated_high,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A10,treated_high,Unknown,1,RSU1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A11,treated_high,Unknown,1,IL8,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A12,treated_high,Unknown,1,FZD7,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A13,treated_high,Unknown,1,ABCC4,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A14,treated_high,Unknown,1,YBX1,Test,11.7821012920018,-1,1,Pass,0.0214762905126088,82.6831741838448,999,1,
S06-A15,treated_high,Unknown,1,PRKCB,Test,26.3985749134913,-1,0.29899873568466,Fail,0.0214762905126088,69.7371670841401,999,1,
S06-A16,treated_high,Unknown,1,DDIT4,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A17,treated_high,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A18,treated_high,Unknown,1,LRP5,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A19,treated_high,Unknown,1,ABCC4,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A20,treated_high,Unknown,1,YBX1,Test,11.748353907,-1,1,Pass,0.0214762905126088,82.6097276209247,999,1,
S06-A21,treated_high,Unknown,1,PRKCB,Test,999,-1,0,Fail,0.0214762905126088,69.4323660623498,999,1,
S06-A22,treated_high,Unknown,1,DDIT4,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A23,treated_high,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A24,treated_high,Unknown,1,LRP5,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A25,treated_high,Unknown,1,ABCC5,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A26,treated_high,Unknown,1,NFYA,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A27,treated_high,Unknown,1,CSK,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A28,treated_high,Unknown,1,SCML2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A29,treated_high,Unknown,1,GAPDH,Test,13.6228745037211,-1,1,Pass,0.0214762905126088,88.0445450142324,999,1,
S06-A30,treated_high,Unknown,1,APCDD1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A31,treated_high,Unknown,1,ABCC5,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A32,treated_high,Unknown,1,NFYA,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A33,treated_high,Unknown,1,CSK,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A34,treated_high,Unknown,1,SCML2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A35,treated_high,Unknown,1,GAPDH,Test,13.5079867646602,-1,1,Pass,0.0214762905126088,88.0330890264497,999,1,
S06-A36,treated_high,Unknown,1,APCDD1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A37,treated_high,Unknown,1,WNK1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A38,treated_high,Unknown,1,IL18,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A39,treated_high,Unknown,1,GCLC,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A40,treated_high,Unknown,1,MAPK1,Test,27.6484427345149,-1,0.967589454758236,Pass,0.0214762905126088,79.875613080823,999,1,
S06-A41,treated_high,Unknown,1,MYC,Test,11.8036054550077,-1,1,Pass,0.0214762905126088,87.5267430125645,999,1,
S06-A42,treated_high,Unknown,1,OCT4,Test,25.8811499515109,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A43,treated_high,Unknown,1,WNK1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A44,treated_high,Unknown,1,IL18,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A45,treated_high,Unknown,1,GCLC,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A46,treated_high,Unknown,1,MAPK1,Test,22.2060329214306,-1,1,Pass,0.0214762905126088,86.8009081866027,999,1,
S06-A47,treated_high,Unknown,1,MYC,Test,11.7613377519757,-1,1,Pass,0.0214762905126088,87.5377223166969,999,1,
S06-A48,treated_high,Unknown,1,OCT4,Test,23.8838307645387,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A54,treated_high,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A53,treated_high,Unknown,1,MPO,Test,12.5869677953483,-1,1,Pass,0.0214762905126088,88.7372052450602,999,1,
S06-A52,treated_high,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
